antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'_spottedutfpr_'},{'catron.utfpr'},0.23143080531665364,0.027365129007036748,0.010164190774042221,0.04391891891891892,1.6049227799227799,0.0038310569303495884,1.0173142113565976,0.49041396040378754
{'catron.utfpr'},{'_spottedutfpr_'},0.027365129007036748,0.23143080531665364,0.010164190774042221,0.37142857142857144,1.6049227799227799,0.0038310569303495884,1.2227237188144147,0.38752164234479347
{'avalancheutfpr'},{'catron.utfpr'},0.1892103205629398,0.027365129007036748,0.01563721657544957,0.08264462809917356,3.0200708382526567,0.010459451743781944,1.0602596341454824,0.8249758919961427
{'catron.utfpr'},{'avalancheutfpr'},0.027365129007036748,0.1892103205629398,0.01563721657544957,0.5714285714285714,3.020070838252656,0.010459451743781944,1.8918425853531402,0.687700964630225
{'crossbots'},{'catron.utfpr'},0.04769351055512119,0.027365129007036748,0.0109460516028147,0.22950819672131148,8.38688524590164,0.00964091253367534,1.2623558963951227,0.9248768472906405
{'catron.utfpr'},{'crossbots'},0.027365129007036748,0.04769351055512119,0.0109460516028147,0.4,8.38688524590164,0.00964091253367534,1.5871774824081315,0.9055466237942122
{'catron.utfpr'},{'dceutfpr.curitiba'},0.027365129007036748,0.14308053166536355,0.01563721657544957,0.5714285714285714,3.9937548790007806,0.011721799368031489,1.9994787594474848,0.7706993569131833
{'dceutfpr.curitiba'},{'catron.utfpr'},0.14308053166536355,0.027365129007036748,0.01563721657544957,0.1092896174863388,3.9937548790007806,0.011721799368031489,1.0919765729552902,0.874771897810219
{'graduacao_utfpr_curitiba'},{'catron.utfpr'},0.13604378420641125,0.027365129007036748,0.010164190774042221,0.07471264367816093,2.7302134646962233,0.006441335068628309,1.051170605917861,0.7335189697180647
{'catron.utfpr'},{'graduacao_utfpr_curitiba'},0.027365129007036748,0.13604378420641125,0.010164190774042221,0.37142857142857144,2.7302134646962237,0.006441335068628309,1.3744757978534365,0.6515582488251299
{'luh367'},{'catron.utfpr'},0.020328381548084442,0.027365129007036748,0.010164190774042221,0.5,18.271428571428572,0.009607901990474624,1.9452697419859266,0.9648842777334398
{'catron.utfpr'},{'luh367'},0.027365129007036748,0.020328381548084442,0.010164190774042221,0.37142857142857144,18.271428571428572,0.009607901990474624,1.5585684839007747,0.9718649517684886
