antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
{'utfpr_pg'},{'graduacao_utfpr_curitiba'},0.033620015637216574,0.13604378420641125,0.012509773260359656,0.37209302325581395,2.7350975674953224,0.007935979107993991,1.3759302695971969,0.6564522653721683
{'graduacao_utfpr_curitiba'},{'utfpr_pg'},0.13604378420641125,0.033620015637216574,0.012509773260359656,0.09195402298850575,2.735097567495322,0.007935979107993991,1.0642412486020525,0.7342760180995475
{'usp.oficial'},{'utfpr_pg'},0.04300234558248632,0.033620015637216574,0.0109460516028147,0.2545454545454545,7.571247357293869,0.009500312071894518,1.2963633936573924,0.906921101774043
{'utfpr_pg'},{'usp.oficial'},0.033620015637216574,0.04300234558248632,0.0109460516028147,0.32558139534883723,7.571247357293869,0.009500312071894518,1.418996522067348,0.8981160425335184
{'utfpr_pg'},{'utfpr.apucarana'},0.033620015637216574,0.018764659890539485,0.012509773260359656,0.37209302325581395,19.829457364341085,0.011878905101412667,1.5627081342484002,0.9826051779935275
{'utfpr.apucarana'},{'utfpr_pg'},0.018764659890539485,0.033620015637216574,0.012509773260359656,0.6666666666666666,19.829457364341085,0.011878905101412667,2.89913995308835,0.9677290836653386
{'utfpr_pg'},{'utfpr_franciscobeltrao'},0.033620015637216574,0.01641907740422205,0.0109460516028147,0.32558139534883723,19.829457364341085,0.010394041963736085,1.4584130921247742,0.9826051779935276
{'utfpr_franciscobeltrao'},{'utfpr_pg'},0.01641907740422205,0.033620015637216574,0.0109460516028147,0.6666666666666666,19.829457364341085,0.010394041963736085,2.89913995308835,0.9654213036565978
{'utfpr_pg'},{'utfprcampuscornelio'},0.033620015637216574,0.018764659890539485,0.010164190774042221,0.3023255813953489,16.11143410852713,0.009533322615095232,1.4064373208235603,0.9705626089121235
{'utfprcampuscornelio'},{'utfpr_pg'},0.018764659890539485,0.033620015637216574,0.010164190774042221,0.5416666666666666,16.11143410852713,0.009533322615095232,2.108465420427891,0.955868832362856
{'utfpr_pg'},{'utfprcm'},0.033620015637216574,0.01563721657544957,0.010164190774042221,0.3023255813953489,19.333720930232563,0.009638467308253065,1.4109199895751892,0.9812671147622606
{'utfprcm'},{'utfpr_pg'},0.01563721657544957,0.033620015637216574,0.010164190774042221,0.65,19.33372093023256,0.009638467308253065,2.7610856696079527,0.963340868821409
{'utfpr_pg'},{'utfprdv'},0.033620015637216574,0.02111024237685692,0.014073494917904612,0.4186046511627907,19.82945736434109,0.01336376823908925,1.6836903831118064,0.9826051779935275
{'utfprdv'},{'utfpr_pg'},0.02111024237685692,0.033620015637216574,0.014073494917904612,0.6666666666666666,19.829457364341085,0.01336376823908925,2.89913995308835,0.9700479233226836
{'utfpr_pg'},{'utfprgp'},0.033620015637216574,0.01563721657544957,0.011727912431587178,0.3488372093023256,22.308139534883722,0.011202188965798021,1.5116999888305596,0.9884034519956851
{'utfprgp'},{'utfpr_pg'},0.01563721657544957,0.033620015637216574,0.011727912431587178,0.75,22.308139534883722,0.011202188965798021,3.8655199374511335,0.9703468361133175
{'utfpr_pg'},{'utfprld'},0.033620015637216574,0.019546520719311962,0.014073494917904612,0.4186046511627907,21.415813953488374,0.013416340585668166,1.6863799843627836,0.9864706939949659
{'utfprld'},{'utfpr_pg'},0.019546520719311962,0.033620015637216574,0.014073494917904612,0.72,21.41581395348837,0.013416340585668166,3.4513570870099404,0.9723108275739853
{'utfpr_pg'},{'utfprtd'},0.033620015637216574,0.014073494917904612,0.0109460516028147,0.32558139534883723,23.1343669250646,0.010472900483604459,1.4618910247769001,0.9900601017105873
{'utfprtd'},{'utfpr_pg'},0.014073494917904612,0.033620015637216574,0.0109460516028147,0.7777777777777778,23.1343669250646,0.010472900483604459,4.348709929632525,0.9704316302254448
