Unnamed: 0,follower,visited
2243,emily.kalinoski,False
2244,thitotii,False
2245,zanzotto_isa,False
2246,ana_perretti,Private
2247,joyasmin_,False
2248,gabriela.barduco,False
2249,clarissedinubila,False
2250,rafaa_fiorin,False
2251,itzsathesup,False
2252,femorais.psi,False
2253,debemel,Private
2254,priscilaluszczynski,False
2255,hatiromiya14_,False
2256,vyc_itor,False
2257,kelligarcez,False
2258,anajuliaribeiiro,False
2259,m.busanello,False
2260,alessandrabatistaantonio,Private
2261,rahs.artesa,False
2262,araujoms23,False
2263,nunu_raulino,False
2264,matheusfurla3,False
2265,_vitoriaalicee,False
2266,_laizones,False
2267,carol.tha,False
2268,ana.carolcamargo,False
2269,ritamilak,False
2270,guilherme.piovezan,False
2271,cxiozxs_,False
2272,a.l.e.t.h.e.i.a_,False
2273,mah_rsantos,Private
2274,fer.cristhine,False
2275,mmiiotti,False
2276,jhuly_marye,False
2277,joaoejunckes,False
2278,bernardoazikri,False
2279,pedroks.s,False
2280,cleidenr,False
2281,julianovpaula,False
2282,paulordasilveira,False
2283,lopes_c01,False
2284,caduzanon_,False
2285,mafe_puppi,False
2286,muniz.carlinho,False
2287,juliano_olinek,False
2288,manuoliveirab_,False
2289,ragna_ferreira,Private
2290,renatinhoow_,False
2291,elaine_biologia,False
2292,kreusch_leo,False
2293,gabbo_mz,False
2294,simoneassisborba,False
2295,gamer_sem_nome,False
2296,elanebrelaz,False
2297,4ntfer,False
2298,andreasobassani,False
2299,lanamoreiraoliveira,False
2300,jo_slaine,False
2301,dellsantos61,False
2302,_lucas_proenca,False
2303,guschlichta,False
2304,micheli.py,False
2305,brendabrito._,False
2306,podcastgestaoutfpr,False
2307,gabischotka,Error
2308,_rafaael.xzz,False
2309,lulouana_,False
2310,flavia_rossa_,False
2311,luiza._.morais,False
2312,umataldenahnah,False
2313,formaturasdiplome,False
2314,beatriz.franc0,False
2315,coderandrunner,False
2316,borges.rhuan,False
2317,riquelh75,False
2318,l4r1_013,False
2319,theogmelo,False
2320,_allana_1502,False
2321,anamolinos__,False
2322,bbe_gabbo,False
2323,francineozaki,False
2324,pedrocarrano,False
2325,gustavo__lima21,False
2326,sarahcgama,False
2327,kcostaber,False
2328,estamparia.ibisilk,False
2329,fj.gubert,False
2330,byankacsilva,False
2331,gtpmarketing,False
2332,gamar_te,False
2333,ingriidgabriielly,False
2334,feles_padilha_ofc,False
2335,manuella_bia28,False
2336,weknowthefuture,Private
2337,evaacquarunners,False
2338,caiorusse8,False
2339,caft.utfpr,False
2340,cinepixoteutfpr,False
2341,mellodebb,False
2342,camillyvct,Private
2343,faelsanttiago,False
2344,fabibio77,False
2345,lin_euu,False
2346,enzoalvesb_,False
2347,nicotopzera_,False
2348,aramanda___,False
2349,josianimaximiano,False
2350,erickaferrez,False
2351,mimi.nalini,False
2352,gabiviziolli,False
2353,ozi_felix,False
2354,escoladolegislativopr,False
2355,sabrina_zef,False
2356,birazoc,True
2357,arianjackob43,False
2358,_.rodrs,False
2359,p.zockee,False
2360,mferdrigues,False
2361,_clarklouise_,False
2362,piartenunes,False
2363,_nangiex,False
2364,gi0.muller,False
2365,juliana.zambon,False
2366,mellissat_205,False
2367,ritanunesanjos,False
2368,joao_augusto_vicentin,False
2369,alguma.juliana,False
2370,paulocesarmaurina,False
2371,neuropsicologiamaceio,False
2372,aaa___anaanaaa,False
2373,binjuliana,Error
2374,ni.czk,False
2375,_lauracalvet,False
2376,mariana_lopesw,False
2377,ederssantos80,False
2378,sandro_marcioo,False
2379,maduhnotfound,False
2380,jc_mattoso,False
2381,priscilla.math,False
2382,larixxpl,False
2383,_studies30,False
2384,agsf1976,False
2385,ph_hidek,False
2386,openfuture.tech,False
2387,andrezasouz.a,False
2388,gatti.fv,False
2389,favretto041,False
2390,eca.ifc.sbs,False
2391,_.pietra.cabral,False
2392,priv_digo,Private
2393,regipietro,False
2394,becherr4r,False
2395,silvanagar,False
2396,mnoeliza26,False
2397,vanderleizem,False
2398,monica.e.luis,False
2399,prince.dini,False
2400,andreattabh,False
2401,gabrielazolet_,False
2402,luizapereir9,False
2403,_renatonetoo,False
2404,murilo.nadolny,False
2405,ludegraf,False
2406,1loutp,False
2407,marcoaureliode.souza,False
2408,valdineinasci,False
2409,natalia3reis,False
2410,thallytaviana,False
2411,insta_teratura,False
2412,denise.dantas25,False
2413,coracaotextil,False
2414,wasotty,Deleted
2415,faciotreinamentos,False
2416,gabehzera,False
2417,murylloklug,False
2418,institutosmartcic,False
2419,miguiiskraba,False
2420,ana444_fuck,False
2421,nicolai_viefer,False
2422,gostosaneedsyou,False
2423,vitor__dnl,False
2424,deandrade_isabela,False
2425,eukah02,False
2426,mariafkrodrigues_,False
2427,toledo_mat,False
2428,olesko_consultoria,False
2429,larissa.bertges,False
2430,sil_0218,False
2431,bracaciom,False
2432,mariaaafern,False
2433,extutfpr,False
2434,sislainecrotti,False
2435,georgiaalano,False
2436,camifxp,False
2437,_evelynzn,False
2438,gusta_landal,False
2439,nihh_siqueira,False
2440,vector_1704,False
2441,marlosnasc,False
2442,esmaelponts,False
2443,murilozakalugem,False
2444,_gabrieldgarcia,False
2445,andre.olopes,False
2446,janainalopesgehr,False
2447,joaocapel,False
2448,luan_guimaraes1999,False
2449,bibsbussolo,False
2450,gustavo__yoshi,False
2451,souza._lucas,False
2452,yamidgarcia07,False
2453,c_fonseca04,False
2454,matheusjoss,False
2455,brunocorrdeiro,False
2456,viscxz,False
2457,24k_yan,True
2458,cavnautfpr,False
2459,izabelimattos,False
2460,viccoltro,True
2461,lu_lipiec_,False
2462,mm.kneng,False
2463,larinahirney,False
2464,caem_utfpr,False
2465,nao_eh_o_cassio,False
2466,fefehh_a,True
2467,nataliagarciahp,False
2468,micaellij,False
2469,endiebic_,False
2470,vitor.lvt,False
2471,mk_kruger,False
2472,juliano.poletto,False
2473,isabellefdsl,False
2474,a_mazett0,Private
2475,tai.castilhoo,False
2476,julianacorotel,False
2477,nellemaria_,False
2478,nathalyvirginia_,False
2479,deividimineiro,False
2480,goncalvesmelyssa,False
2481,taline_franco,False
2482,lucas.v_camargo,False
2483,kkkkksjsud,False
2484,marcilene.souza.3726,False
2485,dan_zuka,False
2486,stefanii_bandeira,False
2487,emgmotizuki,False
2488,lucimara_dalvesco,False
2489,vih_leal,False
2490,denise.rpo,False
2491,kp1vara,False
2492,nina_jaensch,False
2493,diegoribeiro117,False
2494,pedrxsz_,False
2495,andre_cwb_6,False
2496,azevedo_gz,False
2497,duda_cout09,False
2498,yasz_pires,False
2499,sheepotatoo,False
2500,gleicy_mf,False
2501,arrobacuritiboca,False
2502,fernandaportela_fer,False
2503,carol_pbx,True
2504,amand4_aa,False
2505,serralheriaandradearteemferro,False
2506,aluss_scl,False
2507,allana.kps,False
2508,_gfbueno__,False
2509,elloysa.maria,False
2510,telma_paiva,False
2511,gustavo_kusma,False
2512,neideconik,False
2513,andreza_quintas,False
2514,fisicapratica,False
2515,kauw_s.v,False
2516,ramospetherson,False
2517,manu_cardoz0,False
2518,divinamir,False
2519,yandhi_yuji,False
2520,luiz_klock_,True
2521,ricardocassiano._,False
2522,marcelle_.slz,False
2523,eliene_.reis,False
2524,flaviacardoso76oficial,False
2525,dudakowalschuk,False
2526,joofc.art,False
2527,frank_duna,False
2528,ageparpr,False
2529,lais_budaz,False
2530,maria.rocha.3576,False
2531,herbert_zan,False
2532,lealeliadepaiva,False
2533,bach.renato,False
2534,lusilvabiernaski,False
2535,kstjorge,Private
2536,caio_h.b.s,False
2537,carol_bia1302,False
2538,ph1lippi,False
2539,nayarapl_,False
2540,rafapmoro,False
2541,coisa_de_dev,False
2542,poeme.saboaria,False
2543,will_ruty,False
2544,lia.depaiva,False
2545,euarlane,False
2546,sarahariel9,False
2547,cardosobruna096,False
2548,ceccylopes,False
2549,gabiabbrites,Private
2550,andreimneves,False
2551,napifenomenos,False
2552,rando.seelie,False
2553,evelynmaguetta,False
2554,joao.folly06,False
2555,oinigrev,False
2556,lian_takemoto,False
2557,kmlaac,Private
2558,dani__pedroso,False
2559,ribeeiro_duda,False
2560,el.ias1718,False
2561,luschneiderrr,False
2562,gatinhocoded,False
2563,noryexs,False
2564,stival.luciano,False
2565,yphisms,False
2566,joaovitormeschialfukushima,False
2567,gebauer_mariana,False
2568,agtrrs,False
2569,analuizaforigo,Private
2570,ps.jota,False
2571,haabybueno,False
2572,vegacristiane,False
2573,sarahnasci_,False
2574,ppedro.jpeg,False
2575,marinaalst,False
2576,mary_nascii90,Error
2577,iivanareis,False
2578,tataluga_distroi,False
2579,felipe.kerne,False
2580,gabrielbotogoske,False
2581,karolineschulze,False
2582,leo.tortato,False
2583,vsoaressilva06,Private
2584,mariele.falk,False
2585,lidiaferreiradossantosjuve,False
2586,isa_gavioli,False
2587,_camilacastilho,False
2588,laura_conp,False
2589,andre7444,False
2590,stefanywestphal,False
2591,duda.cgebing,False
2592,memo_andalco,False
2593,knupp___i,False
2594,victoria.vfs,False
2595,daniellamottin,False
2596,miillenafernandes,False
2597,afranio_goncalves.ag,False
2598,cahh_vitoriaa,False
2599,cami_pski,False
2600,ericarafabricio,Private
2601,gabriel_conte,False
2602,giovana_manfron,False
2603,pedro_henriquedsouza,False
2604,pipocashowcuritiba,False
2605,francolimferreira,False
2606,centrodelinguascelemcep,False
2607,georgy_lf20,False
2608,joaoskip,False
2609,prof.andressamunoz,False
2610,birgittetummler_art,False
2611,andradexxz_,False
2612,endrfonseca,False
2613,bbeaalves,False
2614,lucianazattar,False
2615,marihbarretos_,False
2616,_._lina_._._._,False
2617,fladerny,False
2618,erikaastorrer,False
2619,copapinhao,False
2620,fandangoooooooooo,False
2621,cleversonluisforlin,False
2622,divinocanto.arte,False
2623,joaogabrieljob_,False
2624,_macie1_20y,False
2625,arthurfudali,False
2626,nanaomim1,False
2627,igasques,False
2628,pdr_za,False
2629,idlwrobin,False
2630,willianmarque_s,False
2631,o.projeto.utfpr,False
2632,feco.mics,False
2633,mayermath,False
2634,elianabrasil,False
2635,sofskist,False
2636,mlk.vinixs.777.y,False
2637,helo_quintino,False
2638,leorbretaxx,False
2639,marcelinocostax_,False
2640,isabela_dcr,False
2641,oi.mikaa,False
2642,brag.ancarhayssa,False
2643,dudaagaleazzi,False
2644,nielk_.nk,False
2645,mariliagfarias,False
2646,rrrvlc,False
2647,rpereiramg,False
2648,vinicius.alo,False
2649,mariacla_souza,False
2650,kamilygoncalvess,False
2651,tercariolricardo,True
2652,biamirandaa___,Private
2653,anapassosoc,False
2654,iaiacurcio,False
2655,tamyreshein,False
2656,maria_biermeier,False
2657,helena_augustiniaki,False
2658,m.e.mi.a,False
2659,marlos_grigoleto,False
2660,alexandre_akj,True
2661,paranafalaidiomas.oficial,False
2662,math_delimas,False
2663,andreiaguimaraesjez,True
2664,anaalandag,False
2665,_marco_kerscher,False
2666,emanuellabcastilho,False
2667,_pedrosmc,False
2668,joaopiacentini,False
2669,silvaa.ray01,False
2670,andrettinha,Private
2671,mestmba,False
2672,ana_pafs,False
2673,daniel.bichof,False
2674,nigella.mendes,Private
2675,cholazinha_,False
2676,bielll_correiaaa,False
2677,gutifarm,False
2678,jcponciano,False
2679,amandafila_,False
2680,laris.bialski,False
2681,amandaribsantos,False
2682,juliana.vieirap,False
2683,abimaelortizbarros,Private
2684,mariaahe_costa,False
2685,yantramar,False
2686,anawleonel,Error
2687,adrianamalgarezi,False
2688,isaac_mendoza16,False
2689,cotinho_melo_,False
2690,isabelle.beatriz.9083,False
2691,_brnaka,False
2692,_aline.th,False
2693,ruth.franciele.3,False
2694,pandinho0103,False
2695,p.scapin_,False
2696,daylvsc,False
2697,vinickz__,False
2698,laqsam.utfpr,False
2699,heygarutti_,False
2700,rafaellz7_,False
2701,kleberholanda,False
2702,marcia_jakeline2,False
2703,joaocords,False
2704,lilianfudali,Private
2705,braganca_rhayssa,Private
2706,_szinke,False
2707,juhribeirom,False
2708,adao.david.1,False
2709,gaabschuetze,False
2710,silvarenza,False
2711,arthur_lisovski,False
2712,w.michel.m,False
2713,designpensativo,False
2714,marcos_simioni,False
2715,brunavatras,False
2716,fermferrari,False
2717,allanamnetto,False
2718,jozainebissule,False
2719,asterophm_,False
2720,epigrafe_se,False
2721,potato.beto,True
2722,vinihh7,False
2723,clau_tarif,False
2724,isabellaolopess,False
2725,adrineiatecchio,False
2726,professoraregina.utfprld,False
2727,viniciuspoletto,False
2728,fleursephone,False
2729,geanrschmitz,False
2730,maria_patriarc,False
2731,liliammariapereiragomes,False
2732,kebuest,False
2733,giovanni.bez,False
2734,rafaelabbez,False
2735,iamguigao,False
2736,greccomillena,False
2737,ela_crismarques,False
2738,akaluzn_,False
2739,jhullypantoja36,False
2740,izagelinski,False
2741,filosofandonaescola,False
2742,_unalua,False
2743,lucas_kosnyy,False
2744,altamiro746,False
2745,biancapepplow,False
2746,jpk_guitar,False
2747,fejepar,False
2748,r.cpta,False
2749,rayka_cardoso16,False
2750,espaco.shin,False
2751,volpagro_blog,False
2752,_gustavo_damas_,False
2753,k4.ch4n,False
2754,woundssia,False
2755,hick__alves,False
2756,samuelsyokoyama,False
2757,xavier_lucs,False
2758,g_letchacovski,False
2759,marcelocostama,False
2760,luciannops,False
2761,matheux_m8,False
2762,mtscrnr,False
2763,caio23093,False
2764,izabelacms,False
2765,dubh_dark,False
2766,lbtzth,False
2767,correarruda,False
2768,fabiodigdoi,False
2769,lazzarin_investimentos,False
2770,pibidsh,False
2771,thianabecker,False
2772,j__domanski,False
2773,roberta_gss,False
2774,raquelsantoss.ribeiro,Private
2775,alexviriato,False
2776,__brayangomes,False
2777,nick_ciola,False
2778,arapaimaartes,False
2779,lnrdfrnds,True
2780,eliselastica,False
2781,danisommer__,False
2782,jorlan_abreu,Private
2783,enactusutfprpb,False
2784,ipedosaber,False
2785,seliajoana,False
2786,marcelohenriquediasabreu,False
2787,susantrevisani,False
2788,kvltstuff,False
2789,palomalevesque,False
2790,yasmimnatalyo,Deleted
2791,chapa_ttv_loureiro,False
2792,anyyy._.575,False
2793,euw._.maryyy,False
2794,klopff,False
2795,m.mechenski,False
2796,juliavsouzag,False
2797,leo_nascimento747,False
2798,fernandacordeiro52,True
2799,bel.haygert,True
2800,peplerwho,False
2801,bassimai,False
2802,lucianomog,False
2803,willikerber,False
2804,lo.smntt,False
2805,dantuness_,False
2806,matheus.gomeess,False
2807,amyggomes,False
2808,fabricadichocolateestacao,False
2809,aderlanpsantos,True
2810,paulla.helena.2023,Private
2811,pcordeirofavoretto,False
2812,danielsvk.10,False
2813,claudiaszekut,False
2814,netto08jc,Invalid
2815,glendely_lima,False
2816,ney_anthy,False
2817,cout_luz,False
2818,mariia_evelly,False
2819,josistraubel_00,False
2820,kmgnanda,False
2821,role_plbar_mon_largo,False
2822,yasmin_camposf,False
2823,naaratalita_,False
2824,_miliferraz,False
2825,jzgraficadigital,False
2826,nicolas_bazzo,True
2827,mari_simionato_,False
2828,lino_juaoo,False
2829,ccm_zilda_arns,False
2830,gab.fick,False
2831,feeravelar,False
2832,sabrihobbit,False
2833,joaokmeneses,False
2834,arth.ges,False
2835,sirlenevitalinok,False
2836,meira_tri,False
2837,gabriela_bralia,False
2838,adamoski_,False
2839,eloizagra,False
2840,mariaaguiar3562,False
2841,johan_carneiro,False
2842,clarissafleury,False
2843,marisecavarsan,False
2844,bel.weigert,False
2845,abnuente,False
2846,madu_freitas61,False
2847,_isascabral_,Private
2848,jefferson.bennert,False
2849,descubra.comorg,False
2850,samara.toledoo,False
2851,pedrokretzerr,False
2852,jair___yt,False
2853,gustavohilgemberg,False
2854,gers.oncwb,False
2855,arq.isabelakonschak,False
2856,duarte_lucass_,False
2857,escanteioss.a,False
2858,streetmagicb.boys,False
2859,alejandro.cordeiro35,Private
2860,jaqueline.ribeiro.315,False
2861,johnwsh1,False
2862,jewan_antunes,False
2863,mi_sthefane,False
2864,anaemarcio,False
2865,mateusgregorio12,False
2866,cinthyamaral,Private
2867,patrickws_,False
2868,g_tessari_,False
2869,maninhasdedeus.oficial,False
2870,mateustoppel,False
2871,juan_medeiiros,False
2872,alec.yoshikawa,True
2873,helenbritonails,False
2874,zedzeck,False
2875,rafa_bonat,False
2876,daniel__pk__,False
2877,aman.ds.fernan.des,False
2878,bfxis,False
2879,livia_bortot,False
2880,adriano_.arj,False
2881,baeynaby,False
2882,leonardo_dalla,False
2883,nlswtt_,Private
2884,aandressafabeni,False
2885,eleonorefrs_,False
2886,accpena,True
2887,brerolin,False
2888,leilatsuneta,False
2889,arrthurrs,True
2890,drielicb_,False
2891,eficienciaenergeticagdufpr,False
2892,lav.nevess,False
2893,engegonlima,False
2894,iago.ale,True
2895,ivanivancof,False
2896,sahbruck,False
2897,guerradiaz.1399,Invalid
2898,menudahelen,True
2899,pfol_utfpr.ct,False
2900,maferfogaca,False
2901,nathartigas,False
2902,rafaeldacruz_ofc,False
2903,jordanasociolc2019,False
2904,maria_kohlerr,True
2905,danielerocha_dr,False
2906,bruno.miranda.223,False
2907,ryan.felipes,Private
2908,pv.leoz.in,False
2909,rafael_debur,False
2910,pfinamori,Invalid
2911,desativkk787,False
2912,caslud,False
2913,anapaulaquiterio,False
2914,rick0440,False
2915,gisela_trindade,False
2916,srta_mazone,False
2917,nsc.rebeca,False
2918,telmameneghettebassan,False
2919,myuchamh,False
2920,gabrielabrnv,False
2921,dhandaracomh,False
2922,bruno9d,Private
2923,_lucianarocha_,False
2924,ingridrcha,False
2925,otaviozg,False
2926,elizete.daviesalmeida,False
2927,rosanyalbu,False
2928,cristina.zulian,False
2929,andre.wn,False
2930,betinhanandes,False
2931,kaalebo,False
2932,alves.anakarol,False
2933,gelinton,False
2934,tepha_veiga,False
2935,elanebrelazz,False
2936,ana_annunciato,False
2937,_.k3nj1,False
2938,duduribas,False
2939,naty_kecot,False
2940,lshmeil,False
2941,adry_prestes,Private
2942,mafe.ristow,False
2943,dont.fuck.with.my.chi,False
2944,raeferreira_,False
2945,aripiasson,False
2946,cabanadojuniorfoodtruck,False
2947,dialeticaarquitetura,False
2948,fisicaemsi,True
2949,yas_tds,False
2950,ptnaalep_,False
2951,ppgedf_ufpr,False
2952,nedia.ghisi,False
2953,anabusato,False
2954,moniquenickollyde,False
2955,jurandir.jesus.146,False
2956,viniciusmelo08,False
2957,ednanevespsicologia,False
2958,amandapadilhasantos,False
2959,larii_camilee,False
2960,grupopolyndia,False
2961,vsrs_xadrez,False
2962,giuboiko,False
2963,eduardoestudys,False
2964,isasteffen_,False
2965,vitorcwb_sz,False
2966,gicastross,False
2967,rombritto,False
2968,mar.ya_schaurich,False
2969,fermanunogueira,False
2970,angelamellodesign,False
2971,isabeletavaress_,False
2972,lucasdebail,False
2973,aisapost,False
2974,dayaneferasso,False
2975,geosndrsn,True
2976,guioliverfer,False
2977,edurdomingues,False
2978,criskvendramin,False
2979,cleverson.ferreira.927,False
2980,secret_account0888,False
2981,fjp97,False
2982,rafaelstefenon,False
2983,tisufpr,False
2984,sadrangerr,Private
2985,vitoriapegurski,False
2986,maisa37,False
2987,mariaelisajuju,False
2988,jo_vieira_gt,False
2989,aclcda,False
2990,alanis_vilke,False
2991,luciaahsantana,False
2992,kelem.motta,False
2993,mth_goncalvess,False
2994,joao_victor.ramos,False
2995,luizgu901,False
2996,gabriel_rodra,False
2997,j0a0.marin0,False
2998,deehggr,True
2999,romaniukramalho,False
3000,jctrindadef,True
3001,lab.eng.civil,True
3002,matheusbeiso,True
3003,pgustabo21,True
3004,luiz_gt.rb,True
3005,anelisebg,Private
3006,victorhugokaw,Private
3007,ajjaruk,Deleted
3008,mat.indus,True
3009,brenahandrade,Private
3010,danone_ely,False
3011,heliofallgatter,False
3012,stecoletti,False
3013,kamily_wundervald,False
3014,alice_zub,False
3015,sfsophie_,False
3016,lucca.souza.lima,False
3017,sayhello.duda,False
3018,guidah_oliva,False
3019,gabrielekferreira,False
3020,vi.pbs,False
3021,brunopvasco,False
3022,lenirvilasboa,False
3023,yuuris.f,False
3024,priscilaraquelretka,False
3025,rebecaadrielli,False
3026,lucorreiaestetica,False
3027,bibidbobidboo,Private
3028,luisgmey,False
3029,angelapolaz,False
3030,bibliotecacapuem,False
3031,analuciabarbosamonteiro,False
3032,stella.curitiba,False
3033,giovana.mazeppa,False
3034,alan_salestt,False
3035,rodrigoizumida,False
3036,martafavetti,False
3037,cristiane20amaral,False
3038,franoliveira.psi,False
3039,elainefallgatter,False
3040,raylenharo,False
3041,hermindabulhoes.consult,False
3042,carool_roa,False
3043,paulocfaa,False
3044,eh.doglas.sem.u,False
3045,pedrokrav,False
3046,gabriel_widderhoff_,False
3047,steffani_figueiredo,False
3048,silviafranqui,False
3049,tiu_feh,False
3050,choosejosi,Private
3051,gii.1z,False
3052,eduruwer,False
3053,guilherme_fox,False
3054,izabelli270818,False
3055,aunt_kura,False
3056,britotobias,False
3057,penteadoadriane,False
3058,lopeshenriq,False
3059,_anapaulatiemi,False
3060,marciams0502,False
3061,solangealves.carvalho,False
3062,artfelipebueno,False
3063,rodrigomateuspe,False
3064,ni.frn,False
3065,rafaacfs,True
3066,projeto_lca,False
3067,luizf.png,False
3068,studiomghair,False
3069,daiarahkalil,False
3070,thiagoac15,False
3071,rudykra,False
3072,matheusmunn,Private
3073,rfzhay,False
3074,felipe_mk_,False
3075,viv.tanaka,False
3076,aires.ds,False
3077,wellrramos,False
3078,lsousx,False
3079,lly_hom,False
3080,ariremisio,False
3081,charysato,False
3082,estatuartes,False
3083,fermatiassn,False
3084,maryviolinart,False
3085,beart.is,False
3086,joaolucassuzuki,False
3087,haleccia_,False
3088,gustavomadej,False
3089,gui_pilato,False
3090,quellorenz,False
3091,a_valle_,False
3092,belleesantii,False
3093,gabrieldalnegro,False
3094,octaviocelidonio,False
3095,euanafer,False
3096,ronicofaesser,False
3097,martinszigra,False
3098,majubornia,False
3099,caroolis__,False
3100,michele_otta,False
3101,gtrojanovski,False
3102,kah_kobata,False
3103,melyseprado_,False
3104,thiagoigp,False
3105,assislucas_3112,False
3106,girde_,False
3107,estevao_helder,False
3108,carmolucaz,False
3109,chefluciamuchel,False
3110,faabi.s,False
3111,priscilabatistao,False
3112,fabiana.esquivel,False
3113,_akstar,True
3114,sabrina_batistacamargo,False
3115,ale__ferreiraa,False
3116,anaatonon,Private
3117,profa.marjorie_benegra,False
3118,_amanda_gds,False
3119,__leodoro__,False
3120,fabioomachado_,False
3121,dayane.pereira13,False
3122,mieloslobodzian,False
3123,manrique.marialuisa,False
3124,agathascamargo,False
3125,thamy_montr,False
3126,thamgirio,False
3127,eber.th,False
3128,s2ieunn,False
3129,aghatzs_,False
3130,sara.kvieira,False
3131,laura_storithont,False
3132,_bilk15,False
3133,fialho_thi,False
3134,jessica_burcoski,False
3135,julypalatinsky,False
3136,luma_peruzzo,False
3137,loalmeida.ark,False
3138,anapbrg_,Private
3139,vitaaao__,False
3140,anajulara,False
3141,hs.utfpr,False
3142,eliane.armstrong.5,False
3143,ryann.olrs,Private
3144,adrian_cann,False
3145,eriedenegabi,False
3146,fabiulaw,False
3147,andersondesousacoelho,False
3148,muliroo__,False
3149,morennakaty,False
3150,lindstook,False
3151,otavio_burch_18,False
3152,croche_ve,False
3153,valzinha.vav,False
3154,angela.rosa.3762,False
3155,luizrjferro,False
3156,alb_the_scientist,False
3157,flavielle92,False
3158,szrenataaa,False
3159,anavitoria_ls,Private
3160,thms.76,False
3161,segantini_mauri,False
3162,caniatomartioli,False
3163,rangelamon,Invalid
3164,brehsinhaa,False
3165,isavtri,False
3166,moniquecastellano8,False
3167,aligraunke,False
3168,lkikuti,False
3169,mdrs_hellen,False
3170,dalyevans,False
3171,k_millena12,False
3172,vagnervilela,False
3173,prof.darlanjr,False
3174,kel.kampf,Private
3175,arileidecalves,False
3176,edu.dcruz,Private
3177,allandavid98,False
3178,gustaviiinhoo_ofc,False
3179,erica_dal_santos_23.03,False
3180,thays.roani,False
3181,brazevellin,False
3182,carolinedybas,False
3183,elson.kunze,False
3184,joao_kovanei,False
3185,paulo_vitorio,False
3186,mrdrdsnts,False
3187,felipe_mossato,False
3188,larihilchechem,False
3189,_liacoutinho,False
3190,vandisouza,False
3191,_vicckye,False
3192,psor.fernando.s,False
3193,alana_jacobowski,False
3194,isabel_marcon,False
3195,malu.claudino_,False
3196,yhanahenrique,False
3197,danielerocha2508,False
3198,satierfleib,False
3199,juliaayui,False
3200,isa.ferens,False
3201,ikebemanu,False
3202,sergioluiz.art,False
3203,raquel_nichele,Private
3204,malu_kampa,False
3205,helenagw_,True
3206,schadektaina,True
3207,kleber_murillo,False
3208,mori_gabriel,False
3209,silviasoareslv_,False
3210,zan_martins,False
3211,sandracass.machado,False
3212,rubia__weber,False
3213,bia_buenox,False
3214,jeanetienne04,False
3215,doctorenato_araujo,False
3216,ulas_no_insta,False
3217,juliohenriquemb,True
3218,shadindindin,False
3219,valerie_depaula,False
3220,chuamba_,False
3221,marcaogermano,False
3222,dyonath.p,False
3223,ferkraft_,False
3224,igor_darocha_,False
3225,cirbcirb,False
3226,larigoncalvesf,Private
3227,dixpabloribeiro,False
3228,mary_sartori,False
3229,laura_coutinho2774,False
3230,ber._.aa,False
3231,conteudo_raizes,False
3232,marinaldo806,False
3233,gabb_bel,False
3234,mariiaeduardalj,Private
3235,luiz.abdalaaa,False
3236,patricia_guerra20,False
3237,victor_eduardo_p,False
3238,llu.rp,False
3239,lionardirv,False
3240,vvicente.s,False
3241,eduardo_zeni12,False
3242,amanda_bertulino,False
3243,itsjuoliv,False
3244,franciane.fcs,False
3245,paulo_c._souza,False
3246,ecosystemambientar,False
3247,mariaphg8,False
3248,m.pereira.maia,False
3249,diegombiz,False
3250,vinined,False
3251,thur_pain,False
3252,leticiapinheiro_let,False
3253,anapaulanrquirino,False
3254,edu.assuncao13,False
3255,o.willr,False
3256,dieno_gabriel,False
3257,karladibia,False
3258,samuel_santarosa,False
3259,_isahenzel,False
3260,saaa.depaula,False
3261,visaodeluana,False
3262,cadu_bervi,False
3263,_.mariaa._aa,False
3264,xurilei,False
3265,cely.42,False
3266,gui_tortato,False
3267,tata_schutze,False
3268,imdressax_,False
3269,sophiamulek,False
3270,marioaxavier7,False
3271,naty_mazurk,False
3272,henrique.ems,False
3273,damec.utfpr,False
3274,bih_ndf,False
3275,paulo.benites,False
3276,lizandrodiass,False
3277,vai.andre_,False
3278,david_luan25,False
3279,caiuaquistao_skate_crew,False
3280,gstramontin,False
3281,sarahnunesa,False
3282,juumoreiraa_,False
3283,selesmarici,False
3284,_rmalho,False
3285,felipedejan,False
3286,bycacauview,False
3287,joaquimcesar98,False
3288,xande_valentim,False
3289,monsieur_jeffs,False
3290,g_nandes_,Private
3291,raypaul112233,False
3292,cassiana.tortato,False
3293,jao_alexandrino,False
3294,edsonramosquirino,False
3295,labden_utfpr,False
3296,thevirgensagain,False
3297,gustavocorso_,False
3298,cesarjulior,False
3299,piter_phe,False
3300,portela__maria,False
3301,penelope.cristina,False
3302,victormr564,False
3303,kenedypires,False
3304,nicpaes8,False
3305,dercianemelo,False
3306,patipalauro,False
3307,anna.lary_15,False
3308,lucas_deitos_,False
3309,renata.grubba,False
3310,phiie.wz,False
3311,veronica_wesolowski,Invalid
3312,tiago_vilingas_luso,False
3313,gomes.cwb,False
3314,fpresliak,False
3315,heloizarp,False
3316,stra_da_vida,False
3317,samiirizzi___,False
3318,isaa_mann,False
3319,le_tormem,False
3320,eich.yaz,False
3321,guilherme_rodrigues_vieira,False
3322,allan.duduts,False
3323,jesilva.estrela,False
3324,re_oldenburg,False
3325,leticia.gasp4r,False
3326,milena.zang,False
3327,crissdrn_,False
3328,anaa.kkkjl,False
3329,suh_paty,False
3330,diegodantas194,False
3331,mabutattoo,False
3332,manuelle_pires,False
